0	214
1	2
2	3
3	2
4	2
5	2
6	3
7	3
8	4
9	1
10	2
11	5
12	2
13	2
14	2
15	2
16	5
17	2
18	2
19	4
20	2
21	4
22	1
23	4
24	1
25	1
26	1
27	0
28	1
29	1
30	4
31	4
32	2
33	2
34	1
35	3
36	4
37	4
38	7
39	2
40	5
41	3
42	1
43	0
44	2
45	1
46	4
47	2
48	0
49	2
50	2
51	2
52	2
53	2
54	4
55	2
56	3
57	2
58	3
59	3
60	3
61	1
62	1
63	3
64	2
65	4
66	3
67	2
68	0
69	3
70	1
71	6
72	4
73	3
74	1
75	2
76	5
77	4
78	1
79	1
80	1
81	3
82	1
83	7
84	1
85	1
86	5
87	1
88	5
89	3
90	2
91	5
92	2
93	3
94	1
95	5
96	4
97	2
98	1
99	1
100	2
101	3
102	1
103	4
104	2
105	1
106	2
107	4
108	1
109	2
110	2
111	5
112	7
113	8
114	35
115	71
116	185
117	193
118	191
119	179
120	184
121	186
122	188
123	171
124	150
125	122
126	47
127	9
128	4
129	2
130	5
131	8
132	3
133	3
134	1
135	2
136	4
137	2
138	3
139	2
140	3
141	4
142	3
143	3
144	3
145	4
146	1
147	2
148	1
149	4
150	3
151	2
152	3
153	2
154	6
155	4
156	5
157	0
158	1
159	2
160	1
161	2
162	2
163	1
164	2
165	2
166	2
167	3
168	1
169	5
170	2
171	3
172	3
173	2
174	0
175	1
176	1
177	1
178	2
179	6
180	3
181	4
182	4
183	1
184	2
185	2
186	3
187	5
188	2
189	3
190	3
191	5
192	5
193	4
194	2
195	4
196	2
197	2
198	3
199	2
200	2
201	3
202	3
203	2
204	2
205	0
206	3
207	2
208	4
209	6
210	5
211	3
212	2
213	2
214	5
215	2
216	2
217	2
218	2
219	2
220	4
221	2
222	2
223	2
224	4
225	3
226	5
227	3
228	3
229	6
230	3
231	7
232	2
233	5
234	6
235	2
236	2
237	5
238	3
239	8
240	2
241	4
242	1
243	2
244	5
245	6
246	3
247	2
248	4
249	2
250	5
251	4
252	4
253	5
254	0
255	8
